Distance Travelled,Radial Distance,Deadend,Turned Head,Blocks,Radius,Timeout,Collided
6.214394566,6.214354291,FALSE,0,32,4,FALSE,FALSE
2.889787266,2.845455305,TRUE,0,72,6,FALSE,FALSE
6.992815146,4.615717885,FALSE,0,72,6,FALSE,TRUE
5.318033862,5.090810438,FALSE,0,162,9,FALSE,TRUE
19.09468781,13.29791064,FALSE,0,162,9,FALSE,FALSE
1.923890827,1.688926694,TRUE,0,128,8,FALSE,FALSE
6.034221377,5.41584982,TRUE,0,162,9,FALSE,FALSE
2.654344841,2.504117987,TRUE,0,72,6,FALSE,FALSE
3.89014686,3.784116259,FALSE,0,200,10,FALSE,TRUE
4.722080435,4.336453152,FALSE,0,50,5,FALSE,TRUE
4.712960894,4.298141027,FALSE,0,50,5,FALSE,TRUE
4.270140227,4.168449354,TRUE,0,200,10,FALSE,FALSE
9.200308535,9.126855312,FALSE,0,72,6,FALSE,FALSE
2.471568911,2.357779072,TRUE,0,32,4,FALSE,FALSE
7.125719728,5.228963095,FALSE,0,72,6,FALSE,TRUE
1.630599233,1.630060921,TRUE,0,242,11,FALSE,FALSE
10.54335689,10.42486589,FALSE,0,98,7,FALSE,FALSE
3.027023465,2.969601909,TRUE,0,242,11,FALSE,FALSE
4.612420988,4.051768479,TRUE,0,200,10,FALSE,FALSE
11.2131117,10.4772345,FALSE,0,98,7,FALSE,FALSE
5.300094585,5.113184458,FALSE,0,50,5,FALSE,TRUE
2.819547286,2.474663675,TRUE,0,50,5,FALSE,FALSE
1.923890827,1.688926694,TRUE,0,128,8,FALSE,FALSE
9.973418168,9.110117749,FALSE,0,72,6,FALSE,FALSE
6.743043173,6.5564808,FALSE,0,242,11,FALSE,TRUE
2.735093139,2.677337298,TRUE,0,98,7,FALSE,FALSE
4.850390118,4.850358596,FALSE,0,18,3,FALSE,FALSE
2.49704143,2.313825444,TRUE,0,32,4,FALSE,FALSE
6.214394566,6.214354291,FALSE,0,32,4,FALSE,FALSE
4.496310726,4.268739064,FALSE,0,200,10,FALSE,TRUE
5.983853059,5.253523613,FALSE,0,200,10,FALSE,TRUE
1.630599233,1.630060921,TRUE,0,128,8,FALSE,FALSE
2.569764085,2.010726706,TRUE,0,72,6,FALSE,FALSE
1.630599233,1.630060921,TRUE,0,162,9,FALSE,FALSE
4.781251431,4.761171549,TRUE,0,200,10,FALSE,FALSE
4.014041251,3.796504763,TRUE,0,162,9,FALSE,FALSE
3.309197468,3.068568315,TRUE,0,50,5,FALSE,FALSE
4.814408832,4.776421541,FALSE,0,18,3,FALSE,FALSE
6.67834575,6.348243604,FALSE,0,72,6,FALSE,TRUE
2.036135766,1.978720164,TRUE,0,128,8,FALSE,FALSE
3.838960899,3.792985485,TRUE,0,128,8,FALSE,FALSE
1.630599233,1.630060921,TRUE,0,50,5,FALSE,FALSE
6.412047117,6.304064517,FALSE,0,32,4,FALSE,FALSE
14.39129726,13.34643891,FALSE,0,162,9,FALSE,FALSE
1.911669229,1.670222098,TRUE,0,98,7,FALSE,FALSE
1.630599233,1.630060921,TRUE,0,72,6,FALSE,FALSE
3.934395777,3.805331781,FALSE,0,72,6,FALSE,TRUE
3.438336941,3.046709571,TRUE,0,50,5,FALSE,FALSE
3.433296015,3.056017825,TRUE,0,128,8,FALSE,FALSE
2.49704143,2.313825444,TRUE,0,242,11,FALSE,FALSE
3.791508227,3.402164376,FALSE,0,32,4,FALSE,TRUE
1.971935398,1.930134277,TRUE,0,200,10,FALSE,FALSE
2.577944528,2.577929386,TRUE,0,200,10,FALSE,FALSE
1.630599233,1.630060921,TRUE,0,32,4,FALSE,FALSE
2.654344841,2.504117987,TRUE,0,98,7,FALSE,FALSE
7.135718552,5.927811634,TRUE,0,242,11,FALSE,FALSE
8.265793199,7.667146723,FALSE,0,50,5,FALSE,FALSE
3.311391163,3.020738683,TRUE,0,200,10,FALSE,FALSE
5.293949418,5.142448473,FALSE,0,128,8,FALSE,TRUE
4.885269097,4.79104516,FALSE,0,18,3,FALSE,FALSE
4.904479263,4.606302161,TRUE,0,98,7,FALSE,FALSE
1.923890827,1.688926694,TRUE,0,242,11,FALSE,FALSE
4.40115244,3.332792192,TRUE,0,98,7,FALSE,FALSE
3.411595309,3.260981858,TRUE,0,72,6,FALSE,FALSE
7.70325696,7.597347089,FALSE,0,50,5,FALSE,FALSE
3.433296015,3.056017825,TRUE,0,72,6,FALSE,FALSE
2.577944528,2.577929386,TRUE,0,72,6,FALSE,FALSE
10.48761889,10.46663008,FALSE,0,98,7,FALSE,FALSE
12.99987866,5.372054698,FALSE,0,200,10,FALSE,TRUE
3.852966158,3.787496132,TRUE,0,242,11,FALSE,FALSE
5.096456035,4.881447791,FALSE,0,18,3,FALSE,FALSE
3.322935835,3.155180593,TRUE,0,128,8,FALSE,FALSE
3.882826518,3.815410625,TRUE,0,72,6,FALSE,FALSE
2.569206642,2.333435634,TRUE,0,200,10,FALSE,FALSE
1.630599233,1.630060921,TRUE,0,162,9,FALSE,FALSE
2.577944528,2.577929386,TRUE,0,242,11,FALSE,FALSE
7.745519566,7.592425454,FALSE,0,50,5,FALSE,FALSE
3.972373573,3.799234476,TRUE,0,72,6,FALSE,FALSE
5.096456035,4.881447791,FALSE,0,18,3,FALSE,FALSE
2.569206642,2.333435634,TRUE,0,98,7,FALSE,FALSE
6.34585017,6.262860512,FALSE,0,32,4,FALSE,FALSE
3.81311668,3.766691012,TRUE,0,98,7,FALSE,FALSE
4.885269097,4.79104516,FALSE,0,18,3,FALSE,FALSE
1.911669229,1.670222098,TRUE,0,242,11,FALSE,FALSE
7.280839114,6.519040591,FALSE,0,162,9,FALSE,TRUE
5.027300475,4.908662503,TRUE,0,200,10,FALSE,FALSE
3.82566961,3.526366472,FALSE,0,50,5,FALSE,TRUE
1.971935398,1.930134277,TRUE,0,50,5,FALSE,FALSE
6.288570024,6.253937722,FALSE,0,32,4,FALSE,FALSE
7.808041192,7.695293832,FALSE,0,50,5,FALSE,FALSE
1.630599233,1.630060921,TRUE,0,242,11,FALSE,FALSE
6.326114041,6.285242986,FALSE,0,32,4,FALSE,FALSE
